reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
2012SAM/NAZ,"[""10.1016/j.fluid.2012.08.003""]","[""https://doi.org/10.1016/j.fluid.2012.08.003""]",possible bibliographic match only; verify primary reference,2,"[""rdr250199#csvline4070"",""rdr250199#csvline7562""]"
1923AWB/GRI,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5185""]"
1930PHI/WAT,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline349""]"
1931FIO/GIN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5084"",""rdr250199#csvline5085""]"
1931MAT/FEH,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7132"",""rdr250199#csvline7133""]"
1941PIT/GWI,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline347""]"
1943AST/SZA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5571""]"
1943LEM/FEL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6040"",""rdr250199#csvline6041"",""rdr250199#csvline6042"",""rdr250199#csvline6043""]"
1944RUB/LEV,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline810""]"
1947JON/GIA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline346""]"
1947SCO/WAD,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5076"",""rdr250199#csvline5077"",""rdr250199#csvline5078"",""rdr250199#csvline5079""]"
1947WAD/DOU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6036"",""rdr250199#csvline6037""]"
1947WAD/TOD,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7685"",""rdr250199#csvline7686""]"
1949WAD/KNO,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2303"",""rdr250199#csvline2304"",""rdr250199#csvline2305""]"
1950IWA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline864""]"
1951BAR/MCC,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline10251""]"
1951MCC/PER,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5566"",""rdr250199#csvline5567""]"
1952SCO/FIN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3313"",""rdr250199#csvline3314"",""rdr250199#csvline3315""]"
1952SCO/FIN2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3339"",""rdr250199#csvline3340""]"
1954MCC/SCO,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline341"",""rdr250199#csvline342"",""rdr250199#csvline343"",""rdr250199#csvline344""]"
1956SCO/MCC2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4994"",""rdr250199#csvline4995"",""rdr250199#csvline4996"",""rdr250199#csvline4997""]"
1957MCC/DOU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3594"",""rdr250199#csvline3595"",""rdr250199#csvline3596""]"
1957MCC/HUB,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1203"",""rdr250199#csvline1204"",""rdr250199#csvline1205""]"
1958HUB/DOU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1223"",""rdr250199#csvline1224"",""rdr250199#csvline1225""]"
1959MCC/DOU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2946"",""rdr250199#csvline2947"",""rdr250199#csvline2948""]"
1960AIH,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline524""]"
1960MCK/SAG,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline9035"",""rdr250199#csvline9036"",""rdr250199#csvline9037""]"
1960WAD,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5565""]"
1961MAT/MCK,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1915"",""rdr250199#csvline1916"",""rdr250199#csvline1917"",""rdr250199#csvline1918"",""rdr250199#csvline1919""]"
1961NIC/KOB,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2689"",""rdr250199#csvline2690"",""rdr250199#csvline2691"",""rdr250199#csvline2692"",""rdr250199#csvline2693""]"
1962HAT/HIL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5184""]"
1962WAD/SMI,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline168"",""rdr250199#csvline169"",""rdr250199#csvline170""]"
1962WEB/KIL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1562""]"
1963BEN/MCK,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3169"",""rdr250199#csvline3170"",""rdr250199#csvline3171"",""rdr250199#csvline3172"",""rdr250199#csvline3173""]"
1963HAL/COX,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1951"",""rdr250199#csvline1952"",""rdr250199#csvline1953""]"
1964BER/LAR,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1944"",""rdr250199#csvline1945"",""rdr250199#csvline1946"",""rdr250199#csvline1947""]"
1965COL/COU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline11889""]"
1965COU/HAL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3075"",""rdr250199#csvline3076"",""rdr250199#csvline3077""]"
1965PUT/MCE,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline863""]"
1966WAD2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline94""]"
1967SCO/BER,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2344"",""rdr250199#csvline2345"",""rdr250199#csvline2346""]"
1970HAR/HEA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline9914""]"
1970SEL2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7533""]"
1971KUS/WAD2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5181""]"
1971MAN/RIN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline807""]"
1972MAN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4082""]"
1973AND/COU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline804"",""rdr250199#csvline805"",""rdr250199#csvline806""]"
1973KON,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline92""]"
1974MAN4,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline12360""]"
1975AND/COU,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6150"",""rdr250199#csvline6151"",""rdr250199#csvline6152""]"
1975BER/OLO,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5976""]"
1975MAS/SCO,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4910""]"
1976CIH/HYN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4063"",""rdr250199#csvline4064"",""rdr250199#csvline4065""]"
1976MEL/MAN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline12359""]"
1977SVO/MAJ,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2867"",""rdr250199#csvline2868"",""rdr250199#csvline2869"",""rdr250199#csvline2870"",""rdr250199#csvline2871""]"
1979KUD/KUD,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline239""]"
1979SEV,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline11173"",""rdr250199#csvline11174""]"
1979SUN/SVE,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline13151"",""rdr250199#csvline13152"",""rdr250199#csvline13153""]"
1980FUC/PEA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline8913""]"
1981HOS/SCO2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline9027""]"
